order_id,coffee_type,milk_type,cost,time,server_name
104,Cortado,Oat,4.41,2024-12-17T21:54:14.575164Z,Alice
105,Americano,Almond,2.51,2024-12-04T22:46:14.575164Z,Dana
106,Americano,Almond,3.25,2025-01-08T17:42:14.575164Z,Dana
107,Cortado,Regular,3.58,2024-11-01T07:29:14.575164Z,Dana
108,Americano,Almond,3.15,2024-11-03T13:35:14.575164Z,Charlie
109,Americano,Almond,3.91,2025-01-11T01:44:14.575164Z,Dana
110,Cortado,Regular,4.5,2024-11-12T00:54:14.575164Z,Bob
111,Cortado,Oat,4.71,2024-11-05T04:09:14.575164Z,Alice
112,Americano,Oat,3.98,2024-11-30T02:19:14.575164Z,Charlie
113,Latte,Oat,5.13,2025-01-21T11:22:14.575164Z,Charlie
114,Latte,Almond,4.75,2024-11-06T09:44:14.575164Z,Charlie
115,Americano,Oat,3.96,2024-12-25T17:16:14.575164Z,Bob
116,Latte,Almond,5.47,2024-12-12T04:51:14.575164Z,Dana
117,Latte,Regular,4.89,2024-11-29T07:21:14.575164Z,Charlie
118,Latte,Oat,5.09,2024-11-07T18:36:14.575164Z,Bob
119,Americano,Regular,3.84,2024-11-05T16:16:14.575164Z,Alice
120,Americano,Regular,3.78,2024-11-27T07:01:14.575164Z,Bob
121,Americano,Regular,3.96,2025-01-17T23:46:14.575164Z,Alice
122,Americano,Regular,3.64,2024-12-06T00:18:14.575164Z,Charlie
123,Latte,Regular,5.45,2025-01-10T10:36:14.575164Z,Dana
124,Latte,Almond,4.8,2024-11-17T13:03:14.575164Z,Charlie
125,Americano,Oat,2.82,2024-12-05T09:11:14.575164Z,Dana
126,Latte,Regular,4.27,2024-11-12T06:55:14.575164Z,Dana
127,Americano,Almond,3.07,2025-01-16T16:23:14.575164Z,Dana
128,Latte,Regular,4.69,2024-11-03T20:32:14.575164Z,Dana
129,Cortado,Almond,3.55,2024-11-06T00:23:14.575164Z,Charlie
130,Cortado,Almond,4.76,2025-01-09T14:50:14.575164Z,Alice
131,Cortado,Regular,3.69,2024-12-30T05:14:14.575164Z,Bob
132,Cortado,Oat,4.6,2025-01-04T19:54:14.575164Z,Alice
133,Latte,Oat,4.58,2024-11-03T12:27:14.575164Z,Alice
134,Latte,Oat,4.21,2024-11-10T18:33:14.575164Z,Bob
135,Cortado,Regular,4.27,2024-12-18T06:35:14.575164Z,Alice
136,Americano,Oat,2.89,2024-11-10T19:22:14.575164Z,Charlie
137,Americano,Oat,2.86,2024-12-07T21:52:14.575164Z,Bob
138,Latte,Almond,4.35,2024-12-21T17:15:14.575164Z,Dana
139,Cortado,Regular,4.48,2024-11-12T05:48:14.575164Z,Alice
140,Latte,Regular,5.19,2025-01-17T23:32:14.575164Z,Charlie
141,Americano,Almond,3.41,2025-01-16T21:16:14.575164Z,Bob
142,Americano,Oat,3.08,2024-12-04T21:01:14.575164Z,Bob
143,Cortado,Oat,4.43,2024-12-01T04:34:14.575164Z,Alice
144,Americano,Oat,3.87,2024-11-07T09:54:14.575164Z,Alice
145,Cortado,Regular,4.35,2024-10-29T07:33:14.575164Z,Alice
146,Latte,Oat,4.74,2024-12-21T06:45:14.575164Z,Alice
147,Americano,Oat,2.81,2024-11-17T14:59:14.575164Z,Charlie
148,Americano,Almond,2.93,2025-01-12T03:50:14.575164Z,Charlie
149,Cortado,Almond,3.92,2024-11-09T13:04:14.575164Z,Alice
150,Latte,Oat,4.04,2025-01-09T21:29:14.575164Z,Dana
151,Americano,Oat,2.76,2024-12-01T12:26:14.575164Z,Alice
152,Cortado,Almond,3.78,2024-11-16T20:56:14.575164Z,Bob
153,Latte,Oat,5.45,2024-12-25T10:45:14.575164Z,Alice
154,Cortado,Almond,4.27,2024-12-01T06:02:14.575164Z,Charlie
155,Cortado,Oat,4.82,2024-12-28T21:37:14.575164Z,Dana
156,Americano,Regular,3.41,2024-12-13T18:39:14.575164Z,Alice
157,Cortado,Regular,5.0,2024-12-24T12:04:14.575164Z,Bob
158,Cortado,Oat,3.85,2024-11-04T12:39:14.575164Z,Bob
159,Latte,Regular,4.34,2024-12-06T22:24:14.575164Z,Dana
160,Cortado,Almond,4.2,2024-12-04T09:08:14.575164Z,Alice
161,Latte,Oat,4.94,2024-12-12T15:33:14.575164Z,Alice
162,Cortado,Almond,4.78,2024-11-25T05:18:14.575164Z,Dana
163,Americano,Almond,3.89,2024-11-07T04:29:14.575164Z,Dana
164,Americano,Oat,3.66,2024-12-15T09:01:14.575164Z,Bob
165,Cortado,Regular,3.62,2024-12-21T15:49:14.575164Z,Alice
166,Americano,Almond,2.56,2024-12-03T02:54:14.575164Z,Bob
167,Latte,Almond,4.93,2024-10-30T02:31:14.575164Z,Dana
168,Latte,Almond,5.32,2025-01-14T00:13:14.575164Z,Bob
169,Cortado,Almond,4.34,2024-11-04T01:12:14.575164Z,Alice
170,Cortado,Almond,4.68,2025-01-24T21:37:14.575164Z,Bob
171,Latte,Regular,4.17,2024-12-27T22:46:14.575164Z,Dana
172,Latte,Oat,4.17,2024-11-26T00:04:14.575164Z,Charlie
173,Latte,Almond,5.08,2024-12-11T06:42:14.575164Z,Alice
174,Latte,Regular,4.87,2025-01-01T20:05:14.575164Z,Charlie
175,Americano,Regular,3.35,2024-12-26T11:19:14.575164Z,Bob
176,Latte,Regular,4.44,2025-01-13T16:41:14.575164Z,Charlie
177,Cortado,Almond,4.87,2024-12-19T22:11:14.575164Z,Dana
178,Latte,Oat,5.35,2025-01-20T22:16:14.575164Z,Alice
179,Americano,Regular,3.04,2024-11-22T11:07:14.575164Z,Bob
180,Cortado,Regular,4.65,2025-01-09T15:56:14.575164Z,Dana
181,Latte,Regular,4.09,2024-11-09T09:49:14.575164Z,Alice
182,Latte,Oat,5.17,2024-11-06T22:25:14.575164Z,Dana
183,Cortado,Oat,3.51,2024-12-04T07:41:14.575164Z,Bob
184,Cortado,Almond,3.81,2024-11-26T07:48:14.575164Z,Bob
185,Latte,Oat,4.52,2024-11-03T17:44:14.575164Z,Dana
186,Latte,Oat,5.21,2024-11-11T22:29:14.575164Z,Alice
187,Americano,Regular,2.62,2024-12-05T05:32:14.575164Z,Dana
188,Cortado,Regular,4.72,2024-12-03T21:53:14.575164Z,Bob
189,Latte,Regular,4.88,2025-01-12T21:04:14.575164Z,Alice
190,Americano,Oat,3.11,2024-12-02T10:12:14.575164Z,Bob
191,Americano,Oat,2.9,2025-01-24T06:23:14.575164Z,Charlie
192,Cortado,Regular,3.85,2025-01-14T10:10:14.575164Z,Charlie
193,Cortado,Oat,4.91,2025-01-14T21:33:14.575164Z,Bob
194,Latte,Regular,4.13,2024-12-29T14:14:14.575164Z,Charlie
195,Cortado,Almond,3.86,2024-11-18T03:01:14.575164Z,Dana
196,Americano,Regular,2.74,2024-12-31T04:31:14.575164Z,Alice
197,Latte,Almond,4.01,2024-11-24T16:42:14.575164Z,Bob
198,Cortado,Regular,3.84,2025-01-17T01:23:14.575164Z,Dana
199,Latte,Oat,4.24,2025-01-17T13:56:14.575164Z,Charlie
200,Cortado,Oat,4.86,2025-01-15T11:59:14.575164Z,Charlie
201,Cortado,Oat,4.02,2025-01-23T10:00:14.575164Z,Bob
202,Latte,Regular,4.21,2024-12-25T00:34:14.575164Z,Bob
203,Americano,Regular,3.8,2025-01-15T13:05:14.575164Z,Alice
204,Latte,Regular,4.72,2024-12-06T23:44:14.575164Z,Dana
205,Latte,Regular,4.45,2025-01-22T14:49:14.575164Z,Charlie
206,Cortado,Regular,3.68,2024-11-10T03:18:14.575164Z,Dana
207,Cortado,Oat,4.12,2024-12-08T04:09:14.575164Z,Charlie
208,Latte,Oat,5.33,2024-11-19T04:43:14.575164Z,Charlie
209,Cortado,Almond,4.72,2024-11-23T08:52:14.575164Z,Alice
210,Latte,Oat,5.49,2024-11-06T08:31:14.575164Z,Dana
211,Cortado,Oat,3.79,2024-12-20T01:55:14.575164Z,Alice
212,Americano,Regular,2.69,2025-01-13T21:13:14.575164Z,Charlie
213,Americano,Oat,2.63,2024-11-20T14:04:14.575164Z,Dana
214,Cortado,Oat,4.12,2025-01-12T22:04:14.575164Z,Dana
215,Cortado,Oat,4.31,2024-12-29T19:13:14.575164Z,Dana
216,Latte,Regular,4.5,2024-12-12T18:50:14.575164Z,Alice
217,Americano,Regular,3.94,2024-11-06T02:09:14.575164Z,Alice
218,Latte,Regular,5.02,2024-11-15T02:29:14.575164Z,Bob
219,Americano,Oat,2.66,2024-12-10T20:18:14.575164Z,Alice
220,Americano,Almond,3.17,2025-01-11T10:58:14.575164Z,Dana
221,Americano,Regular,3.5,2024-12-14T19:21:14.575164Z,Charlie
222,Cortado,Regular,4.55,2024-12-08T05:17:14.575164Z,Bob
223,Cortado,Regular,4.13,2024-11-24T03:21:14.575164Z,Bob
224,Americano,Oat,3.11,2024-12-27T00:42:14.575164Z,Dana
225,Americano,Regular,3.88,2024-12-11T02:54:14.575164Z,Bob
226,Latte,Regular,4.55,2025-01-21T17:35:14.575164Z,Dana
227,Cortado,Oat,4.06,2024-11-13T16:40:14.575164Z,Bob
228,Americano,Oat,3.21,2025-01-23T16:01:14.575164Z,Dana
229,Americano,Almond,2.68,2024-12-28T14:17:14.575164Z,Charlie
230,Americano,Almond,3.82,2024-12-23T14:16:14.575164Z,Bob
231,Cortado,Regular,4.56,2024-12-08T09:03:14.575164Z,Alice
232,Cortado,Regular,4.45,2024-12-12T08:36:14.575164Z,Alice
233,Latte,Almond,4.26,2024-11-21T23:09:14.575164Z,Dana
234,Cortado,Oat,4.93,2024-11-18T20:27:14.575164Z,Charlie
235,Americano,Regular,2.86,2025-01-25T06:39:14.575164Z,Alice
236,Latte,Almond,5.01,2024-12-19T19:53:14.575164Z,Dana
237,Cortado,Regular,4.52,2025-01-01T16:34:14.575164Z,Bob
238,Americano,Regular,3.43,2024-10-28T10:21:14.575164Z,Alice
239,Americano,Regular,2.54,2025-01-11T15:23:14.575164Z,Alice
240,Latte,Oat,5.4,2024-11-21T03:52:14.575164Z,Alice
241,Americano,Almond,2.97,2025-01-15T21:29:14.575164Z,Dana
242,Americano,Almond,3.71,2024-11-06T15:36:14.575164Z,Bob
243,Cortado,Regular,3.88,2024-11-23T08:39:14.575164Z,Bob
244,Cortado,Regular,4.5,2024-11-05T15:25:14.575164Z,Alice
245,Americano,Almond,3.68,2025-01-21T07:36:14.575164Z,Bob
246,Latte,Oat,5.34,2025-01-11T21:42:14.575164Z,Charlie
247,Cortado,Regular,4.43,2024-11-17T17:05:14.575164Z,Bob
248,Americano,Oat,3.5,2025-01-04T19:36:14.575164Z,Alice
249,Americano,Oat,3.0,2025-01-08T02:24:14.575164Z,Bob
250,Cortado,Regular,4.71,2025-01-16T11:51:14.575164Z,Dana
251,Latte,Oat,4.03,2024-12-17T03:47:14.575164Z,Bob
252,Cortado,Almond,4.97,2024-11-26T07:01:14.575164Z,Alice
253,Cortado,Almond,4.89,2025-01-24T09:43:14.575164Z,Alice
254,Latte,Oat,4.66,2024-12-08T04:49:14.575164Z,Charlie
255,Cortado,Oat,4.46,2024-12-24T12:51:14.575164Z,Charlie
256,Latte,Almond,4.2,2024-11-30T09:57:14.575164Z,Dana
257,Americano,Oat,3.01,2024-11-24T21:25:14.575164Z,Charlie
258,Cortado,Regular,4.07,2024-12-07T08:37:14.575164Z,Dana
259,Americano,Oat,3.18,2024-12-13T16:21:14.575164Z,Charlie
260,Americano,Oat,2.53,2024-11-26T11:04:14.575164Z,Alice
261,Americano,Regular,3.01,2024-12-09T02:22:14.575164Z,Charlie
262,Cortado,Oat,3.82,2024-11-11T03:53:14.575164Z,Charlie
263,Latte,Almond,4.87,2024-11-08T07:27:14.575164Z,Charlie
264,Americano,Regular,3.43,2024-11-22T23:43:14.575164Z,Alice
265,Latte,Almond,5.11,2024-11-28T17:08:14.575164Z,Bob
266,Americano,Oat,3.68,2024-12-15T11:21:14.575164Z,Bob
267,Latte,Almond,4.06,2024-12-10T05:10:14.575164Z,Dana
268,Latte,Regular,4.35,2024-11-30T06:20:14.575164Z,Charlie
269,Cortado,Oat,3.55,2025-01-02T15:38:14.575164Z,Dana
270,Americano,Regular,3.46,2024-11-12T01:56:14.575164Z,Bob
271,Cortado,Regular,4.26,2025-01-22T04:12:14.575164Z,Dana
272,Americano,Oat,3.46,2024-12-01T14:01:14.575164Z,Alice
273,Latte,Oat,4.39,2024-12-08T01:11:14.575164Z,Alice
274,Americano,Almond,3.97,2025-01-11T11:01:14.575164Z,Dana
275,Americano,Regular,3.47,2024-11-08T00:17:14.575164Z,Dana
276,Latte,Regular,4.53,2024-11-05T08:44:14.575164Z,Alice
277,Americano,Almond,3.46,2024-12-01T21:15:14.575164Z,Bob
278,Americano,Almond,2.62,2024-11-27T17:10:14.575164Z,Charlie
279,Cortado,Oat,4.96,2024-12-13T09:09:14.575164Z,Charlie
280,Latte,Almond,5.22,2024-11-24T18:39:14.575164Z,Bob
281,Americano,Almond,2.83,2025-01-19T08:23:14.575164Z,Alice
282,Cortado,Almond,4.29,2024-11-26T15:11:14.575164Z,Dana
283,Americano,Almond,3.55,2024-11-07T05:58:14.575164Z,Alice
284,Americano,Regular,3.16,2024-11-16T10:10:14.575164Z,Charlie
285,Cortado,Almond,4.93,2024-11-23T17:15:14.575164Z,Charlie
286,Cortado,Regular,3.67,2024-12-08T13:12:14.575164Z,Bob
287,Cortado,Regular,3.54,2024-11-21T07:17:14.575164Z,Alice
288,Latte,Oat,5.26,2024-11-14T03:18:14.575164Z,Bob
289,Cortado,Oat,4.0,2024-11-30T02:08:14.575164Z,Alice
290,Latte,Almond,5.0,2024-12-20T21:30:14.575164Z,Dana
291,Cortado,Almond,3.57,2024-12-19T21:54:14.575164Z,Dana
292,Cortado,Almond,3.78,2024-11-30T06:10:14.575164Z,Charlie
293,Americano,Oat,3.66,2024-11-14T17:38:14.575164Z,Alice
294,Latte,Oat,4.28,2025-01-01T15:16:14.575164Z,Dana
295,Latte,Almond,5.06,2024-12-22T15:04:14.575164Z,Charlie
296,Americano,Almond,3.24,2025-01-18T09:42:14.575164Z,Alice
297,Americano,Regular,2.91,2025-01-22T06:21:14.575164Z,Bob
298,Cortado,Regular,4.56,2024-12-12T08:27:14.575164Z,Bob
299,Cortado,Almond,4.24,2025-01-05T22:04:14.575164Z,Alice
300,Latte,Regular,5.1,2024-11-01T16:57:14.575164Z,Bob
301,Americano,Almond,3.08,2025-01-10T16:48:14.575164Z,Charlie
302,Latte,Regular,4.87,2025-01-11T21:23:14.575164Z,Alice
303,Latte,Almond,4.68,2024-11-16T21:28:14.575164Z,Bob
304,Cortado,Almond,4.85,2025-01-09T08:22:14.575164Z,Alice
305,Latte,Oat,4.85,2025-01-05T14:21:14.575164Z,Bob
306,Americano,Oat,3.2,2025-01-22T13:16:14.575164Z,Bob
307,Americano,Regular,3.62,2024-11-10T04:11:14.575164Z,Charlie
308,Latte,Oat,5.48,2025-01-07T14:21:14.575164Z,Alice
309,Latte,Regular,5.31,2024-11-05T05:50:14.575164Z,Dana
310,Americano,Almond,2.86,2025-01-13T06:56:14.575164Z,Alice
311,Latte,Oat,4.25,2024-12-30T17:21:14.575164Z,Dana
312,Americano,Almond,2.84,2025-01-10T08:12:14.575164Z,Alice
313,Americano,Regular,2.93,2024-11-26T04:01:14.575164Z,Alice
314,Americano,Regular,3.52,2024-12-19T06:18:14.575164Z,Dana
315,Latte,Regular,4.35,2024-12-23T14:58:14.575164Z,Alice
316,Cortado,Almond,3.58,2024-10-31T14:32:14.575164Z,Bob
317,Cortado,Almond,4.99,2025-01-22T13:24:14.575164Z,Dana
318,Americano,Regular,3.55,2024-11-02T07:56:14.575164Z,Alice
319,Cortado,Almond,3.88,2025-01-17T10:12:14.575164Z,Bob
320,Americano,Regular,2.63,2024-12-11T13:34:14.575164Z,Alice
321,Americano,Almond,3.9,2024-12-01T11:47:14.575164Z,Bob
322,Americano,Almond,3.21,2024-12-07T16:39:14.575164Z,Dana
323,Cortado,Almond,4.99,2024-12-10T14:04:14.575164Z,Alice
324,Latte,Regular,5.37,2025-01-21T05:31:14.575164Z,Dana
325,Latte,Almond,4.18,2024-12-10T00:59:14.575164Z,Bob
326,Cortado,Regular,4.09,2024-11-16T20:50:14.575164Z,Bob
327,Americano,Regular,3.82,2024-12-27T10:08:14.575164Z,Charlie
328,Latte,Oat,5.26,2024-12-01T10:58:14.575164Z,Bob
329,Americano,Oat,3.57,2025-01-17T21:44:14.575164Z,Alice
330,Americano,Almond,3.22,2024-10-28T20:53:14.575164Z,Bob
331,Latte,Regular,4.57,2025-01-04T20:53:14.575164Z,Charlie
332,Latte,Almond,5.44,2025-01-15T17:22:14.575164Z,Dana
333,Latte,Oat,4.58,2024-12-14T03:21:14.575164Z,Dana
334,Latte,Almond,5.23,2024-12-05T16:50:14.575164Z,Bob
335,Americano,Regular,3.57,2024-12-02T11:27:14.575164Z,Bob
336,Cortado,Regular,4.43,2025-01-15T04:44:14.575164Z,Bob
337,Cortado,Oat,4.68,2024-11-03T05:16:14.575164Z,Alice
338,Americano,Oat,3.34,2025-01-03T22:10:14.575164Z,Alice
339,Latte,Almond,4.53,2024-12-01T10:00:14.575164Z,Dana
340,Americano,Oat,2.84,2024-10-30T00:13:14.575164Z,Alice
341,Cortado,Oat,4.41,2024-11-18T13:23:14.575164Z,Dana
342,Cortado,Oat,4.86,2024-12-07T11:10:14.575164Z,Bob
343,Latte,Almond,5.27,2024-12-28T22:19:14.575164Z,Dana
344,Americano,Regular,3.99,2024-12-11T04:11:14.575164Z,Alice
345,Cortado,Almond,4.28,2024-12-04T23:21:14.575164Z,Charlie
346,Latte,Almond,4.97,2024-12-09T23:18:14.575164Z,Bob
347,Cortado,Oat,3.59,2024-11-13T20:51:14.575164Z,Dana
348,Americano,Almond,3.34,2024-12-06T14:30:14.575164Z,Bob
349,Cortado,Almond,3.89,2025-01-21T19:22:14.575164Z,Dana
350,Cortado,Oat,3.82,2024-12-24T10:58:14.575164Z,Alice
351,Americano,Regular,3.15,2024-11-25T00:38:14.575164Z,Bob
352,Americano,Almond,3.38,2024-12-30T06:16:14.575164Z,Bob
353,Cortado,Oat,4.57,2024-12-20T17:21:14.575164Z,Alice
354,Latte,Oat,5.14,2024-12-21T01:55:14.575164Z,Dana
355,Latte,Oat,4.73,2024-11-08T07:28:14.575164Z,Charlie
356,Cortado,Oat,4.23,2024-12-03T01:04:14.575164Z,Dana
357,Americano,Almond,3.39,2024-11-07T12:45:14.575164Z,Dana
358,Cortado,Almond,4.03,2025-01-24T15:01:14.575164Z,Charlie
359,Americano,Regular,3.0,2024-10-27T21:05:14.575164Z,Bob
360,Americano,Regular,3.0,2024-12-04T16:37:14.575164Z,Charlie
361,Latte,Almond,4.21,2025-01-08T22:33:14.575164Z,Charlie
362,Latte,Oat,5.34,2025-01-09T02:57:14.575164Z,Bob
363,Latte,Oat,4.54,2025-01-12T21:25:14.575164Z,Charlie
364,Cortado,Regular,3.59,2025-01-21T05:50:14.575164Z,Dana
365,Americano,Almond,3.08,2025-01-16T06:55:14.575164Z,Dana
366,Americano,Almond,3.96,2025-01-20T07:49:14.575164Z,Alice
367,Latte,Almond,5.31,2024-12-03T10:15:14.575164Z,Alice
368,Latte,Almond,4.49,2024-12-29T04:50:14.575164Z,Bob
369,Cortado,Regular,4.64,2024-11-23T07:38:14.575164Z,Alice
370,Latte,Oat,4.64,2024-11-29T04:34:14.575164Z,Bob
371,Cortado,Almond,3.62,2025-01-08T00:50:14.575164Z,Dana
372,Americano,Regular,2.77,2024-11-24T00:41:14.575164Z,Dana
373,Latte,Almond,4.36,2024-11-22T00:33:14.575164Z,Dana
374,Americano,Regular,2.88,2025-01-03T20:14:14.575164Z,Dana
375,Latte,Almond,4.4,2024-12-29T11:41:14.575164Z,Bob
376,Americano,Almond,3.22,2025-01-19T15:51:14.575164Z,Bob
377,Americano,Regular,2.54,2024-11-09T16:30:14.575164Z,Bob
378,Latte,Regular,4.44,2024-11-02T22:08:14.575164Z,Dana
379,Latte,Regular,4.53,2024-11-07T07:36:14.575164Z,Bob
380,Americano,Oat,2.57,2024-12-11T12:43:14.575164Z,Bob
381,Cortado,Almond,4.25,2024-11-21T22:15:14.575164Z,Alice
